HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,7232,1,1
1,8768,37,37
2,14976,71,71
3,126560,107,107
4,9664,148,148
5,704,184,184
6,736,221,221
7,704,257,257
8,15116352,272,272

Range Index,Elapsed Time, First Event,Last Event
0,5472,1,1
1,8768,37,37
2,16160,71,71
3,93728,107,107
4,704,143,143
5,15213088,158,158

Range Index,Elapsed Time, First Event,Last Event
0,5344,1,1
1,8960,37,37
2,15552,71,71
3,78528,107,107
4,9888,148,148
5,704,184,184
6,704,221,221
7,15421024,236,236

Range Index,Elapsed Time, First Event,Last Event
0,5568,1,1
1,8864,37,37
2,17024,71,71
3,94752,107,107
4,704,143,143
5,15465952,158,158
